id,latitude,longitude,publicHazardId,nidHeight,eapId,separateStructuresCount,isAssociatedStructureId,distance,jurisdictionAuthorityId,damLength,maxStorage,maxDischarge,spillwayWidth,numberOfLocks,huc8,drainageArea,Owner_Private,Owner_Public_Utility,Owner_Federal,Owner_State,Owner_Local_Government,Owner_Not_Listed,Owner_Tribe,Purpose_Tailings,Purpose_Fire Protection_Stock_Or_Small_Fish_Pond,Purpose_Grade_Stabilization,Purpose_Other,Purpose_Irrigation,Purpose_Navigation,Purpose_Fish_and_Wildlife_Pond,Purpose_Recreation,Purpose_Hydroelectric,Purpose_Debris_Control,Purpose_Water_Supply,Purpose_Flood_Risk_Reduction,Type_Arch,Type_Timber_Crib,Type_Concrete,Type_Other,Type_Multi_Arch,Type_Stone,Type_Roller_Compacted_Concrete,Type_Rockfill,Type_Buttress,Type_Masonry,Type_Earth,Type_Gravity,is_navigation,is_distance_null,hazardLabel
467592,39.62511,-75.70317,3,21,1,0,0,0.1,1,348,500,3700,39,0,2040205,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,FALSE,High
494628,37.39725746,-89.57173079,1,28,3,0,0,1,0,475,126,25,10,0,7140105,432,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,TRUE,Low
488424,39.831721,-99.23054,1,17,3,0,0,12,0,550,54,434.5,14,0,10260012,0.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,Low
511840,48.7303,-106.1919,1,15,3,0,0,42,1,600,101,434.5,14,0,10050016,1.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,FALSE,Low
482380,39.000107,-101.660547,1,15,3,0,0,34,0,550,57,1120,75,0,10260001,1.81,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,Low
548057,44.7108839,-92.6398398,1,28,2,0,0,0,1,324,26,77,14,0,7040001,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,FALSE,Low
517622,39.39388889,-82.305,2,44,1,0,0,2.7,1,395,66.3,1.6,14,0,5090101,0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,FALSE,Significant
469678,33.023333,-85.128611,1,29,3,0,0,1,1,270,53,434.5,14,0,3130002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,TRUE,Low
548735,43.6115329,-91.0118649,1,73,1,0,0,4,1,790,6500,500,24,0,7060001,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,FALSE,Low
502200,33.83331702,-90.71874487,1,10,3,0,0,6,1,550,1000,434.5,14,0,8030207,1.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,TRUE,Low
